sentiment,review_text,sentiment_predicted,sentiment_predicted_2nd_prompt
negative,"Não recebi o produto porque fui enrolada pela <empresa>.
",negative,negative
positive,"Core i7 com qualidade Samsung por um preço bastante competiivo em relação a concorrência. O HD deixa a desejar por ser 5400RPM mas todo o resto do conjunto é válido.
",positive,positive
positive,"Tela fosca confortável para horas de trabalho, bom custo benefício
",positive,positive
negative,"Custo beneficio que não vale a pena..... e bla bla e bla é só para encher e atender o requisito de avaliação;;...
",negative,negative
negative,"O Notebook foi um presente de Natal para minha filha. Nós o recebemos no dia 22/12 e, neste dia, funcionou sem problemas. No dia seguinte (23/12) o Note não ligou. Mesmo estando com a bateria carregada, só funcionava quando conectado na tomada.
",negative,negative
positive,"até então, perfeito. Tudo que pretendia com ele, fiz........
",positive,positive
positive,"Notebook muito bom, faz 1 mês que estou utilizando e até agora funcionando perfeitamente. DESTAQUES: Tela agradável de se trabalhar, teclados macios, audio satisfatório, ótimo desempenho no geral. DEIXA A DESEJAR: falta de leitor CD/DVD, pouca entrada para USB.
",positive,positive
positive,"Notebook muito bom para trabalhos rapidos, pratico para reunioes!! altamente recomendado!
",positive,positive
positive,"Melhor custo beneficio do mercado!  Até mesmo para usuários de games não tão pesados é uma excelente pedida.
",positive,positive
positive,"Boa relação de custo x benefício. Produto de boa qualidade!
",positive,positive
positive,"Recebi há pouco tempo, ainda estou avaliando mas está ótimo. Gostei !!
",positive,positive
positive,"Tinha expectativas altas pelo produto e todas foram atendidas. Utilizo tanto para trabalhar com uso de programas como Photoshop, quanto para jogos.
",positive,positive
positive,"Este computador é excelente para usuários de Linux. Após a atualização para o sistema 17.10 ele fica ótimo. A placa de vídeo é reconhecida automaticamente. Não tentei instalar o Windowns, mas não é difícil, basta colocar no modo Legacy. Vale  ressaltar que é um computador que não tem VGA. Além disso, pelo tamamho não é o mais adequado para quem visita muitos ambientes.  O que mais gostei dessa compra foi a relação custo benefício. Uma dificuldade que encontrei foi para descobrir quantos slots existem no computador pelo site da DELL. O teclado é feio, meio diferente, mas a qualidade das teclas é boa.  O único problema de comprar na <empresa> é a quantidade de dias de espera. Acho que eles ganham bastante dinheiro segurando o nosso dinheiro, já que paguei à vista.
",positive,positive
negative,"A assistência técnica poderia dar um pouco mais de atenção pra nós, clientes, acessei no PC a assistência técnica e o computador não consegue nem carregar a página de forma correta, e olha que não é a internet da que de casa, por que meu celular é muito mais rápido que esse notebook, não recomendado, produto horrível, terei que contatar a assistência técnica, não vejo necessidade para algo assim, os produtos deveriam vir perfeitos.
",negative,negative
positive,"Excelente o produto chegou bem antes do combinado, chegou em perfeito estado. Recomendo.
",positive,positive
positive,"Adorei o produto, muito bom, excelente acabamento e ótima configuração. Porém achei 2 problemas, 1 que não tem entrada para o microfone, somente da para utilizar o que vem de fabrica internamente, e não apresenta luz de LED, indicadora, de carregamento concluído, e nem de caps look acionado, o que atrapalha e muito na utilização do mesmo.
",negative,positive
positive,"Embora não seja um pc-gamer a configuração permite rodar tudo que preciso com excelente qualidade. Até o momento só felicidade com o note
",positive,positive
positive,"Excelente produto, gostei muito e recomendo sua compra
",positive,positive
negative,"Prós: Marca renomada/possível boa durabilidade. Contras: processador lento/ aparelho pesado/ bateria dura pouco/ não vem com Office
",negative,negative
positive,"Bonito, leve e bom. Gostei muito, nada mais a declarar. Grato
",positive,positive
positive,"Aparelho bastante rápido e de fácil acesso pelo wifi. Possui ótima configuração e também possui drive de CD e DVD, necessário para minhas tarefas. Estou satisfeito com essa aquisição e recomendo o produto. Parabéns às Lojas <empresa> pela entrega rápida.
",positive,positive
positive,"Esse notebook foi presente para meu filho de 11 anos que queria um notebook gamer para poder jogar. No mercado os computadores com configuração para jogos são bem mais caros, porém a configuração desse notebook atendeu as plenamente às expectativas dele com um custo bem mais acessível
",positive,positive
positive,"Houve extravio durante o transporte, mas tudo foi solucionado
",negative,positive
positive,"Foi presente de Natal para meu filho e ele está se divertindo muito, não desgruda!
",positive,positive
positive,"Gostei demais do PRODUTO ESTAR ME ATENDENDO EM TUDO QUE NECESSITO
",positive,positive
positive,"Muito bom! A vista de outros, é um produto leve, prático e tem suprido minhas necessidades.
",positive,positive
positive,"Vocês deveriam trabalhar com Sedex em todos os produtos, pq se eu compro muitas vezes eu quero entrega express.. pensem nisso. O aparelho não tem nem o que falar a marca Acer é excelente.
",positive,positive
positive,"O produto tem desempenho excelente,acabamento de alta qualidade,no quesito dos cuidados ao transportar tambem nao há do q se reclamar...<empresa> nota 1000
",positive,positive
negative,"Comprei o notebook,e no segundo dia de uso ele não liga mais,fora o transtorno da coleta que ainda não foi feita.
",negative,negative
positive,"Muito bom. Produto de extrema qualidade, conforme o que esperava mesmo.
",positive,positive
positive,"Produto chegou dentro do prazo, é leve, de design fino e elegante. Possui praticidade e vem com todos os programas necessários para o uso do dia a dia. Para quem usa de forma mais intensa (como quando for jogar, por exemplo) recomendo a compra de um cooler para ajudar no resfriamento do notebook. Excelente produto, atendeu minhas expectativas -- e até mesmo superou-as.
",positive,positive
negative,"O produto nem sequer iniciou....estou insatisfeita.  Reinicia automaticamente e constantemente. ..Estou tentando a troca ou devolução do produto...no momento aguardando um retorno da <empresa> sobre minha solicitação. ..
",negative,negative
positive,"Muito bom o Notebook, supre todas as minhas necessidades, bem rápido e eficiente ... E a entrega da <empresa> foi executada com excelência, entregaram antes do prazo, muito bom !
",positive,positive
positive,"Notebook rápido bom para jogos, excelente compra pode comprar sem medo.
",positive,positive
positive,"Chegou antes do prazo! O material confere com o anunciado!Sastifeita
",positive,positive
positive,"Houve atraso na entrega  E rastreamento é deficitário  Mas o produto é ótimo
",negative,negative
negative,"Usei o produto só algumas vezes durante  um período de menos um mês que recebi em minha casa dia 13 de dezembro guardei o computador e quando fui usar novamente no dia 30 ele já deu pau, ou seja o sistema operacional não abre mais.
",negative,negative
positive,"Ótima velocidade de processamento, espaço de armazenamento, etc. vale cada real investido!!
",positive,positive
positive,"Gostei muito do produto, e recomendo, produto bom, entrega dentro do esperado
",positive,positive
positive,"Gostei bastante do produto e não possuo reclamações.
",positive,positive
positive,"Gente, vale muito a pena. É simplesmente ótimo! Supriu muito minhas expectativas.
",positive,positive
positive,"muito bom ....recomendo...atende as necessidaes ...vale a pena comprar
",positive,positive
positive,"Gostei bastante, o notebook se comporta muito bem, mesmo em stress, da pra jogar bastante coisa (GTA V, Bf4, Lol...), o único problema é que o processador fica debaixo do W A S D, então esquenta muito, as vezes a ponto de incomodar. Alguns programas que vem pré-instalados atrapalham um pouco, como o anti-vírus. A tela é boa, mas nada excepcional, o som é de qualidade, mesmo em volumes mais altos ele não perde o foco. O HD faz um barulho característico, mas nada que atrapalhe, pode incomodar pra quem é mais exigente quanto a ruido. O acabamento é bonito e ele é bem leve, sem falar na possibilidade de adicionar um novo HD ou SSD, devido ao slot de gravador de CD estar vazio. No geral é um excelente computador, comprei com o intuito de usar para trabalho, mas como gosto de games, instalei alguns, os quais funcionaram muito bem, então mesmo sendo um computador de trabalho posso leva-lo onde for que vou me divertir.
",positive,positive
positive,"Ótimo Produto!!! Com a grana que tá vendendo aqui eu viajei pros EUAs com a família e comprei um pra cada!!!! Somos em 4!!
",positive,positive
negative,"Péssimo. Comprei desde o dia 4/12 e ate agora nem mesmo a nota fiscal eletrônica foi emitida. Estou achando que cai num golpe. Quero meu dinheiro de volta.Absurdo a lojas <empresa> permitir que esses sites sem credibilidades usem seu espaço para vendas. Estou extremamente chateada, pois nem mesmo uma ligação ou e-mail eu recebi para me esclarecerem o q esta ocorrendo com minha compra. Irei para justiça.
",negative,negative
positive,"Notebook muito bom, leve e fácil de manusear. Super recomendado.
",positive,positive
positive,"faz quase um mes que comprei esse notebook, e o que eu tenho a dizer, super recomendo, perfeito, rapido e com um lindo designer..
",positive,positive
positive,"Produto muito bom! Mas poderia ter leitor de CD... :(  <empresa> está de parabéns pela agilidade na entrega!!!
",positive,positive
positive,"A loja tem um atendimento ótimo e o produto chega antes do combinado.
",positive,positive
positive,"Monto computadores há anos, e escolhi este como melhor relação custo benefício. Há modelos superiores mas de custo elevado. Para tarefas comuns até edição básica de vídeo este serve bem. Para games e edição avançada só maquinas com valor 50% superior.
",positive,positive
positive,"Foi presente de Natal para a filha que ficou encantada.
",positive,positive
positive,"Gostei muito do produto! A inicialização é rápida, bateria dura cerca de 7 horas dependendo do uso, tela linda e de ótimo tamanho.
",positive,positive
positive,"Produto excelente, mas quase não compro devido ao elevado valor do frete. UM ABSURDO. R$128,00
",negative,negative
positive,"Produto entregue dentro do prazo estipulado. Equipamento cumpre o prometido nas propagandas.
",positive,positive
positive,"Computador show, fiquei impressionado com a responsabilidade dessa impressa a entrega é rápido mesmo. Só q tem site q acha mais barato.
",positive,positive
positive,"Chegou hj, é lindo, leve, e muito rápido, estava previsto para chegar dia 19, tenho que parabenizar a <empresa> pela entrega, muito ágil, quanto ao note, só amores.
",positive,positive
positive,"Muito satisfeito e fui muito bem atendido pela garantia dell.
",positive,positive
positive,"É exatamento como o descritivo! super recomendo, e o preço aqui foi bem mais em conta!
",positive,positive
positive,"Produto ótimo. Exatamente o que buscava. O prazo de entrega foi antecipado. Embalagem bem protetora. Recomendo fortemente
",positive,positive
positive,"Produto leve,  excelente para viajar, bateria dura bastante, um otimo produto.
",positive,positive
positive,"Produto de ótima qualidade, a duração da bateria é incrível!
",positive,positive
negative,"Comprei a quase 2 meses e não efetuaram a entrega, hoje 05/01 já me cobraram 2 parcelas e nada de entregar meu produto.
",negative,negative
positive,"Comprei esse notebook para jogar e até agora está me atendendo muito bem! Bateria dura bastante, to amando!
",positive,positive
positive,"Produto veio antes do prazo. Chegou abrimos e foi súper fácil de configurar, funciona muito bem. Para entrar na internet e editar arquivos do Office é show! Muito bom!
",positive,positive
negative,"Infelizmente, devolvi o produto, estava com defeito. Felizmente, consegui devolvê-lo, recebi SMS que será cancelada a compra. Somente terei certeza ao receber a fatura.
",negative,negative
positive,"Não é um PC Gamer, mas até agora, aguentou bem tudo o que fiz... tenho que usar mais para chegar numa conclusão final
",positive,positive
positive,"Excelente produto, preço competitivo, entrega rápida, recomendo!!!!
",positive,positive
positive,"PRODUTO SENSACIONAL PADRÃO VAIO, MUITA QUALIDADE E MUITO DESEMPENHO
",positive,positive
positive,"Produto enviado conforme combinado. Prazo correto.
",positive,positive
positive,"O PRODUTO EM SI É OTIMO, MAS DEIXOU A DESEJAR POIS NÃO TEM EN TRADA PARA CABO DE REDE
",negative,negative
positive,"superou minhas expectativas e é um note gamer que tem um preço muito acessível. chega a rodar ate PUBG.
",positive,positive
positive,"Atendeu minhas expectativas, tamanho, peso, acabamentos, recomendo
",positive,positive
positive,"Adquiri a R$ 1765,00 e não tenho do que reclamar, exceto talvez pela posição de algumas teclas que são um pouco confusas. Quanto ao hardware, excelente.
",positive,positive
positive,"Excelente notebook, comprei 10 unidades para minha empresa.
",positive,positive
positive,"RAPIDO, BATERIA DURA MUITO, AS PORTAS ESTÃO NA PARTE DE TRAS DAS LATERAIS ISSO AJUDA MUITO , ACER SEMPRE FOI BOA É MEU SEGUNDO NOTE EU RECOMENDO
",positive,positive
positive,"Meu filho está amando, falou que é excelente consegue executar várias páginas ao mesmo tempo!
",positive,positive
positive,"MUITO LEVE E PRATICO FÁCIL DE LEVA, ÓTIMO PRA TRABALHOS DE FACULDADE.
",positive,positive
positive,"atende perfeitamente aos meus interesses. chegou antes do previsto.
",positive,positive
positive,"Ótimo equipamento com um custo benefício muito bom. Ideal para tarefas do dia a dia.
",positive,positive
positive,"Excelente notebook, muito bonito e rápido, bateria muito boa e roda grande maioria dos jogos atuais
",positive,positive
positive,"produto muito bom, estou muito feliz com minha aquisição chegou antes da data prevista da entrega
",positive,positive
positive,"chegou super rápido é perfeito para o q eu precisava
",positive,positive
positive,"Pc atende as expectativas, mas a resolução da tela dele n eh a das mais top... mas da pra jogar de boa
",negative,negative
positive,"Achei ele muito prático, leve e com ótimo desempenho. Gostaria de comentar sobre a entrega, que foi excepcional.
",positive,positive
negative,"Recebi dia 20/11, no dia 02/12 não ligou mais, apenas conectado à tomada. Entrei em contato, levei para autorizada dia 05/12/17 e ao receber e fazer a vistoria já não ligava nem na tomada. Hoje, 30 dias depois, a única informação pelo site da Positivo é que está em manutenção, ligando na autorizada foi me dito que o problema é na bateria. Não quero mais o produto e não recomendo. Aguardando solução ainda.
",negative,negative
positive,"Notebook bom e rápido, tem um HD espaçoso e uma configuração que atende muito bem para o trabalho diário.  Recomendo a todos para estudos e tarefas normais, como acessar a internet e ver filmes em alta definição
",positive,positive
positive,"O produto, até o momento não apresentou problemas, tem ótimo desempenho inclusive em jogos, só a bateria que não aguenta muito tempo em jogos, de resto até o momento atendeu minhas expectativas.
",positive,positive
negative,"Quanto ao atendimento da loja tudo ok,porem não tive sucesso com o produto ,pois o mesmo apresentou defeito (na abertura da 2ª janela ocorre travamento).
",negative,negative
positive,"Ótimo atendimento, chegou antes da data, produto em perfeitas condições, parece bem maior que nas fotos. Até agora gostei muito.
",positive,positive
negative,"Comprei de presente para minha filha. O notebook liga mas não carrega e fica o tempo todo com uma mensagem de atualização. Como moro um pouco distante dela, não tive a oportunidade de encontrá-la.
",negative,negative
negative,"1º Para instalar o Windows é terrivel e dá uma enorme trabalheira pois ele não faz boot em um pendrive bootavel comum,  tem que baixar o RUFUS porque ele é bloq de fabrica só consegue fazer boot UEFI.  2º Nem tente instalar x32 ele so aceita Windows x64, o que não faz nenhuma lógica pois o notebook só vem com 1 slot de RAM e o processador já ão é lá essas coisas.
",negative,negative
positive,"Estamos amando a tv imagem perfeita,super fácil de manusear e assistir a Netflix ficou bem melhor!
",positive,positive
positive,"Ótimo produto. Vale a pena adquirir, eu recomendo. Atendeu sim todas minhas expectativas. Preço acessível!
",positive,positive
positive,"gente gostei muito.. achei o notbook certo para me ajudar nos trabalhos da faculdade.. Não tive nenhum problema com ele, já estou com ele tem 5 meses, satisfeita. Indico para quem usa Muiiito.. no trabalho e na faculdade.. ele tem 8gb e é o processador mais avançado, o Core i7 .... bom e barato.
",positive,positive
positive,"Show de bola esse not. Parabens a Samsung. Evoluiu na produção dos nots gamer.
",positive,positive
positive,"Ótimo produto, leve e rápido, bom para quem necessita de um notebook para realizar atividades cotidianas, além do mais tem um bom custo. Recomendo! Entrega rápida.
",positive,positive
positive,"Produto de alta qualidade, melhor custo-benefício entre os notebooks da mesma categoria.
",positive,positive
positive,"Produto de extrema qualidade e muito veloz. Recomendo a todos!!!
",positive,positive
positive,"O produto é ótimo e o atendimento das lojas <empresa> com relação ao custo, prazo são excelentes
",positive,positive
negative,"Produto não correspondeu minha expectativa, bateria não carregava. Computador so funcionava conectado a rede elétrica.Desfiz  o negocio.
",negative,negative
positive,"Ótimo produto com excelente prazo de entrega. O produto está com 10 dias de uso e só com mais tempo para uma avaliação melhor
",positive,positive
positive,"Apenas o prazo de entrega eu achei muito extenso, já que a mercadoria saiu de SP para entregar em SC
",negative,negative
negative,"A entrega da <empresa> foi bem rápida, o produto é bonito mas só funciona se estiver na tomada, não carrega a bateria. Pedi troca e a loja prontamente recolheu o produto com defeito e vai enviar outro.
",negative,negative
positive,"Não fica devendo absolutamente nada para marcas mais caras, a única coisa que senti falta foi do teclado retro iluminado
",positive,positive
positive,"Uma bela máquina para quem deseja alto desempenho e o melhor de tudo, um ótimo custo-benefício
",positive,positive
negative,"A loja me atendeu bem, entregou antes do previsto, mas o aparelho trava muito, é mais lento que o antigo que tinha, NÃO TEM LEITOR DE CD \ DVD, tela com reflexo, comprei para trabalhar e está me dando muito mais trabalho me acostumar com ele.
",negative,negative
positive,"produto muito bom faz uma semana que estou usando muito satisfeito recomendo.  excelente entrega, <empresa> entregou bem antes do prazo.
",positive,positive
positive,"Excelente produto, chegou antes do pravo marcado. Recomendo.
",positive,positive
positive,"Um notebook com o design bem mais bonito que eu imaginava. Desempenho maravilhoso. Entrega rápida.
",positive,positive
positive,"Superou minhas expectativas produto, leve, design bonito, fininho tela bem grande não trava com jogos, memoria cabe muitaaaaaaaaa coisa tive um Acer anterior a esse era muito bom esse melhor ainda a entrega era pro dia 03/01 Chegou dia 27/12 satisfeita com entrega.recomendo a loja e o notebook
",positive,positive
positive,"É um produto muito importante para o uso pra utilidades necessária pra boletos e.etc.
",positive,positive
positive,"Ideal para atividades em geral, Bom recurso técnico, E de armazenagem.
",positive,positive
positive,"Alguém sabe se é bom para rodar o Premiere?? Estou procurando um notebook para trabalho.
",negative,negative
negative,"O computador parecia bom, mas só funcionou conectado na tomada. Se desligava aproximadamente 5 segundos após ser desconectado da fonte! E só religava conectado! Ou seja, na prática é como se não tivesse bateria! Devolvido no mesmo dia!
",negative,negative
negative,"Notebook enviado após 3 dias de uso apresentou defeito, e o mesmo precisará ser enviado para a assistência!
",negative,negative
negative,"Olá. Notebook muito lento na leitura do HD,  caro, sem leitor de CD/DVD, resolução da tela ruim,etc. Entrega e atendimento muito complicados. Só não devolvemos o produto por causa. do nosso projeto social. No geral, eu não recomendo essa compra.
",negative,negative
positive,"Gostei muito do notebook.  É ótimo e de fácil manuseio! Chegou rapidinho!
",positive,positive
positive,"Produto muito bom, preço bom e teclado numérico me agradou bastante, embora isso deixe o notebook maior. Excelente atendimento da Dell. <empresa> , como sempre, fez a entrega antes da previsão, mesmo na época de Natal.
",positive,positive
positive,"Entre todos os produtos que pesquisei este foi o que melhor se encaixou no quesito custo/benefício e tem atendido bem as minhas necessidades.  Prós: - Silencioso - Rápido - Tela grande e confortável. - Bom acabamento - Som excelente - Roda jogos com um desempenho médio/bom  Contras: - Sinto falta de leds que sinalizem o que está ativo ou não (caps, leitura do disco, num lock...) - Drive cd/dvd
",positive,positive
positive,"Gostei muito, vale o preço q paguei 1299,90!  A bateria dura 4h, tem um som muito bom, ótimo para ver Netflix etc  Roda the Sims 4, na qualidade mais baixa, já que não é um Notebook para jogos. Mas é muito bom para oq eu preciso!!
",positive,positive
positive,"Ontem adquirido atende as expectativas do consumidor.
",positive,positive
negative,"Produto chegou com bateria danificada, devolvi para a assistência técnica há mais de 10 dias e não tive mais retorno. Quando liguei disseram que estão esperando chegar uma bateria da positivo. Estou sem minha compra. Não recomendo.
",negative,negative
positive,"Notebook muito Bom, atendeu completamente minhas expectativas.
",positive,positive
positive,"Produto muito bom,  só faltou luzes indicativas de funções ativas.
",positive,positive
positive,"A máquina é excelente, atenderá totalmente a minha necessidade. Porém, o Windows deu problema após atualização.
",negative,negative
positive,"Muito bom, recomendo.Apesar do tamanho é bem compacto e versátil.
",positive,positive
positive,"Recebi dentro do prazo, super bem embalado, dei de presente ao meu marido, que avaliou como excelente qualidade do produto, é um notebook muito bonito, leve!
",positive,positive
positive,"Rapido, bateria dura muito, as portas são muito bem distribuidas, ja tive outro acer uma marca acima de qualquer suspeita, excelente
",positive,positive
positive,"Gostei muito do notebook, do design, do peso, e dos programas instalados neste modelo q estão me atendendo muito bem. Recomendo a compra do produto pelas Lojas <empresa> que me deu suporte desde o pedido até a entrega. O produto veio no prazo e bem embalado.
",positive,positive
positive,"desingner do produto bonito, entrega da loja no tempo previsto, recomendaria a um amigo, porém, hoje me senti preocupada, precisei utilizá-lo e ele travou pela primeira vez, não sei se é normal em apenas três meses de pouco uso e ele já estar travando.
",negative,negative
positive,"o note é lindo, o tamanho é ideal, gostei muito. chegou super rapido, comprei na quarta e sabado de manha ja estava com ele. o processador dele é rapido, não trava, atende o que promete, é um bom investimento.
",positive,positive
positive,"gostei muito deste notebook, vale a pena levar para casa.
",positive,positive
positive,"Tem um desempenho bom em jogos e multitarefa, mas o HD realmente faz barulho e ele esquenta um pouco.
",negative,negative
positive,"Computador super rápido, desempenho atende perfeitamente, também bem fácil de usar, e o novo sistema do cortana ajuda muito nas tarefas de trabalho, recomendo!
",positive,positive
positive,"Notebook Excelente, alem de muito bonito tem desempenho muito bom e quase não esquenta!!
",positive,positive
positive,"Produto excelente para o seu dia a dia. Além de rápido e prático, o produto ainda é bem leve para o transporte. Excelente produto!!!
",positive,positive
positive,"O produto é bom, atende as minhas necessidades. Tem um designer bom, super fino. Gostei muito.
",positive,positive
positive,"Compra efetuada sem dificuldades e entrega rápida. Senti apenas falta de maiores informações/descrição do produto no momento da busca.
",positive,negative
positive,"Entrega pronta. Produto otimo em todos os aspectos com funcionamento muito eficaz
",positive,positive
positive,"Entrega rápida,produto excelente site super mega seguro!!!Adorei
",positive,positive
positive,"O produto é excelente e a entrega foi muito rápida. Parabéns! :)
",positive,positive
positive,"Muito lindo o produto, design moderno, muito semelhante ao visto pelo computador. A entrega atrasou um pouco, mas nada que comprometesse.
",positive,positive
positive,"Meu segundo notebook, primeiro Dell é claro, boa opção para quem estudante de cursos de Informática. Prós: design top, não esquenta muito, teclado muito bom, touchpad bom (mas prefiro um mouse bluetooth), não pesa muito comparado ao meu velho notebook LG, Sistema Linux sem problemas, pois já venho migrando desde 2016 para softwares livres. Contras: nenhum.
",positive,positive
positive,"Produto em perfeito estado e ótimo funcionamento, recomendo a todos esses produto.
",positive,positive
positive,"Ótimo custo e beneficio pela configuração, recomendo.
",positive,positive
positive,"Não comprei ainda estou esperando 60% de desconto, tenho acompanhado desde de outubro este produto não foi dado desconto ainda,  como e que fica preciso comprar. Ex: 1700,00 - 60% = 1020,00 cadê o desconto do notebook,
",negative,negative
positive,"Produto excelente, entregue no prazo, tudo de acordo com o anúncio.
",positive,positive
positive,"Esse notebook é bom para jogar jogo de tiro fps em primeira pessoa?
",negative,negative
positive,"Chegou antes do prazo. Notebook leve, rápido, não esquenta e processador muito rápido. ótimo para estudo, trabalho e alguns games.
",positive,positive
positive,"ESTOU MUITO SATISFEITO E RECOMENDO SUA COMPRA. RECEBI UM BOM APARELHO EM UM CURTO ESPAÇO DE TEMPO. ENTREGA RÁPIDA.
",positive,positive
positive,"COMPREI UM NOTEBOOK COM A EMPRESA <empresa> DA MARCA LENOVO. ALÉM DO PRODUTO POSSUIR UM ÓTIMO DESEMPENHO, A EMPRESA TAMBÉM MERECE SER CITADA PELO ÓTIMO SERVIÇO DE ENTREGA E PREÇO DO MESMO. RECOMENDO SEUS SERVIÇOS.   MANOELLA
",positive,positive
positive,"Até o momento o notebook tem se comportado muito bem, dentro das minhas expectativas.
",positive,positive
negative,"Óbvio que é uma máquina limitada, mas por enquanto tem sido útil para meu principal uso que é o produzir trabalhos acadêmidos (usando Word, Excel e ppt) e pesquisa de informações na internet. As vezes tem uma certa lentidão... fica meio travado.
",negative,negative
negative,"Comprei o produto demorou 15 dias para chegar, usei o primeiro dia, no dia seguinte só funcionava com o carregador conectado na tomada mesmo com a bateria cheia, mandei de volta já faz 15 dias e até agora não recebi outro, recebi mensagem que vai chegar no dia 24/01/18, portanto já serão 45 dias de espera, brincadeira viu.
",negative,negative
positive,"Gostei mto do produto e da entrega. Um excelente notebook gamer.
",positive,positive
positive,"Rápida entrega das lojas <empresa>, marca renomada, o produto atende as necessidades básicas, é um pouco lento para jogos por exemplo. Mas assisto netflix, youtube, videos do facebook sem travar. Como outros aparelhos de outras marcas, precisa comprar a chave para utilizar office, vem com 1 mês gratuito. Tela bem grande, sério, Recomendo pelo custo benefício.
",positive,positive
positive,"O recebimento do produto foi muito rápido, e o produto atende com satisfação a minha necessidade.
",positive,positive
positive,"Excelente notebook, muito rápido, suporta até alguns games, aplicativos de filmes e muito bom para as atividades básicas no Office. Recomendo!
",positive,positive
positive,"Prático para trabalho, fácil acesso, leve, design moderno!! Entrega antes do prazo!  Excelente custo-benefício.
",positive,positive
negative,"Pela marca e pelo equipamento, eu esperava bem mais. Achei muito lento, pra tudo! A entrega foi muito lenta também.
",negative,negative
