review,sentiment_predicted
"bateria de alta performace, leve e muito memória em HD, excelente compra
",positive
"O notebook chegou na minha casa apresentando defeito na tela. Percebi que o lado direito estava com uma mancha cinza. Depois de um tempo mexendo no notebook a tela ficou totalmente cinza, igual televisão quando sai do ar em filme de terror. E quando estava assistindo um video no youtube, fui colocar o fone de ouvido e o video desapareceu, só apresentava o som.  Péssimo produto, não recomendo. Passei muita raiva.
",negative
"Aparelho com belo design e muito fino e leve, até mais do que um ultrabook Asus que tenho. Mas é lento já na primeira utilização.
",negative
"A entrega foi rápida e o produto é bom. Atende muito bem quem tem necessidade de trabalhar e estudar por ele.
",positive
"muito bom, a um ano com ele, e não apresentou nem um problema
",positive
"Excelente qualidade, ótima configuração e o preço acessível. Estou muito satisfeita
",positive
"Super recomendo, muito versátil e de fácil uso!! Amei o formato, bem fino e leve. Parabéns!!
",positive
"Ele é bom para trabalhos escolares, pesquisas e ,jogos. Recomendo.
",positive
"Muito rápido, ótimo teclado, não trava com nada, melhor custo-benefício !
",positive
"As lojas <empresa> devia verde por este valor só o notebook de 4gb
",negative
"Gostei do produto, veio dentro do esperado leve para o seu tamanho ótimo sistema de som e ergonomia muito boa. Tempo de entrega muito bom antes do divulgado.
",positive
"Ótima qualidade,bom preço é fácil acessibilidade. Super recomendo
",positive
"Tem alguns comentários negativos aqui, mas oque acontece, quando vc compra o notebbok ele vem desatualizado e a primeiras vezes que vc liga o aparelho, ele vai ficar lento mesmo, porque esta fazendo atualizações, então não leve em consideração os seus primeiros usos do notebook. Passando o tempo de atualizações que podem durar de um a dois dias, este aparelho vai ser sim, rapido inicia rapido, entra em varios programas rapido, um otimo notebook, muito satisfeito com a compra, tenho varios programas pesados, como Corel, Vegas, photoshop, Sonar entre outros, basta ter um pouco de paciencia  nos primeiros dias e vai ver que fez uma ótima compra.
",positive
"Para uso de faculdade e trabalhos excelente,  Entrega no prazo,  Parabéns! !
",positive
"Computador é muito bom, atende bem as exigências. O índice de desempenho dele é ótimo.
",positive
"Ótimo produto! Recomendo entrega super rápida também!
",positive
"Otimo produto como anunciado, bom para dia a dia ...
",positive
"Não usei por completo ainda, mas parece ser perfeito.
",positive
"Comprei para meu olho e ele gostou muito!! Atendeu as expectativas dele para o estudo e para o lazer .
",positive
"Ótimo produto por um preço acessível. Mas precisei resetar pra poder utilizar. O ponteiro do mouse não respondia mesmo depois de fazer todas as configurações possíveis.
",negative
"NOTEBOOK FUNCIONANDO PERFEITO, BOM PRA VÍDEO, JOGAR E SERVIÇO COMUNS.
",positive
"Chegou antes do esperado e estou gostando do produto!!
",positive
"Não usei ainda a marca LENOVO.   Usei  ACER.  Gostaria de um outro ACER ou SAMSUNG.  Mas, creio que agora, todos são da mesma qualidade.  No que puder compro um.  Este LENOVO é exatamente tudo que quero.   Estou esperando um cartão de crédito.
",negative
"Comprei para estudar, ainda não instalei um único programa e ele  já está travando, pelas configurações deveria ser muito melhor. Compre de outra marca, pelo preço que paguei você consegue produto melhor.  Samsung nunca muda essa travação nojenta.
",negative
"Pena que não vem com reprodutor/gravador de dvd/cd.
",negative
"""É como sempre digo e defendo: para 90% dos usuários desse segmento, ter um """"i3+SSD"""" é infinitamente melhor do que um """"i5 ou i7+HD Convencional"""". O gargalos dos computadores atuais está no HD e não no processador. Essa máquina é assustadoramente rápida. Dica: comprem sempre notebooks com SSDs, pois HDs convencionais são lentos e ficam mais lentos com o passar dos meses. SSD é o futuro!!! Parabéns a VAIO por perceber essa necessidade de mercado. Somos carentes de notebooks com SSDs a preços acessíveis. Gostamos tanto desse modelo i3+SSD que já encomendamos outro. Forte abraço!""
",positive
"""No começo é meio Lento... mais depois de uns 10 dias de uso ele deixar de ser lento. Sem esquecer, de desinstalar """"Noton"""" que deixar ele muito lento.""
",negative
"Muitooo bom! A entrega foi rápida, o produto de ótima qualidade, corresponde as minhas necessidades.Recomendo.
",positive
"Estou muito satisfeita com a compra. Chegou em apenas 4 dias úteis! O laptop é leve e fácil de ser transportado. Como o meu objetivo era estudar para a faculdade, realizar pequenos trabalhos e assistir vídeos, o produto alcançou todas as minhas expectativas. Espero que se mantenha assim por um bom tempo.   Se o objetivo de uso for jogar ou utilizar programas mais pesados, ele pode começar a ficar lento, por conta das configurações que são de nível intermediário.   Por fim, ao comparar com outras marcas e configurações, na faixa de preço de paguei, essa é uma excelente escolha!
",positive
"Uso para estudar e trabalhar e o notebook é rápido e para mim funciona perfeitamente. A tela tem um tamanho ótimo e a bateria tem boa duração, apesar de não durar as 8 horas prometidas.
",positive
"Os produtos da Samsung são excelentes, particularmente amei o Notebook, leve, fácil manuseio, maravilhoso.  Recomendo
",positive
"Ótimo custo benefício para tarefas diárias, como pacote office, internet etc.
",positive
"Eu recomendo ótimo produto supriu milhas necessidades
",positive
"Gostei muito bom o produto, seria melhor ainda se já viesse com o windows 10 instalado!
",positive
"Chegou direitinho e antes do prazo.  Pesquisei muito e foi o melhor preço que encontrei. Valeu a compra!!
",positive
"Gostei muito do produto. Atende perfeitamente. Recomendo!!
",positive
"Meu computador veio com defeito e eu tenho MT necessidade de usar
",negative
"Comprei para estudar, muito bom. Já e o segundo notebook que eu adquiro da marca HP. Só a bateria que deveria durar mais tempo.
",positive
"Ótima aquisição, entrega dentro do prazo, estou muito satisfeita.
",positive
"Chegou tudo certinho e antes do prazo ! Produto excelente! Super Recomendo !
",positive
"Ele atendeu todas as expectativas que tive sobre a princípio.
",positive
"Produto péssima qualidade tela fica preta.. solicitei a troca que foi rápida porém outro que chegou péssimo botão emperrando. Naaaaaaao compra .
",negative
"Eu sempre gostei da marca Samsung. E este produto era exatamente o que estava procurando.
",positive
"Custo benefício perfeito. Entrega rápida e sem problemas.
",positive
"Ótima máquina! Comprei para a minha filha estudar. Apenas precisei mandar instalar o Windows, ainda assim, valeu o custo benefício. Notebook pequeno, leve e eficiente, bem como ela queria! Entrega super rápida! Superou as expectativas!
",positive
"Produto muito bom, entrega realizada dentro do prazo
",positive
"A entrega do produto foi realizada dentro do prazo, quanto ao produto, achei ele simplesmente incrível, atendeu a todas as minhas expectativas, o designer dele é maravilhoso, ele não é um notebook pesado, não faz barulho algum... uso ele para jogar e os jogos rodam perfeitamente... realmente ele é incrível e o preço é muito acessível. Adorei!
",positive
"Olá, gosto de comprar da loja <empresa>, porem este produto esta faltando informações Não tem informações sobre a bateria Não tem informações sobre leitores de cartão Não tem informações sobre conexões e outras estão faltando
",negative
"PRECISAVA DE UM P/INSTALAR UM PROGRAMA DE ESTOQUE E FINANCEIRO, NÃO COUBE NA MEMÓRIA, UM PROGRAMA PEQUENO.
",negative
"Os fabricantes deveriam se envergonhar em produzir algo tão fraco.
",negative
"É leve, a tela é maravilhosa e é muito rápido. A bateria dura bem e suporta vários programas pesados ao mesmo tempo (como InDesign e Photoshop). A entrega foi eficiente.
",positive
"Chegou com uma 1 semana de antecedência, ótimo preço e atende as minhas necessidades.
",positive
"A entrega foi rápida e o produto muito bom. E eu recomendo para outros clientes da <empresa>
",positive
"Recebi dentro do prazo estabelecido, chegou com boa embalagem. Produto dentro do esperado para um notebook básico. Tela e imagem excelentes, teclado bom, som razoável e bateria com duração de uma 5 horas ara consumo normal (sem jogos). Auto instalação muito rábida. Notei falta de alguns led's, como por exemplo do Caps Lock e Num Lock, mas nada que atrapalhe muito.  Para iniciar não é assim uma Ferrari de rápido, mas alguns sugundos a mais não matam ninguém.
",positive
"roda de tudo de pubg ate cs go muito parabéns 10/10 melhor em custo beneficio
",positive
"Recomendo a todos! Um maravilhoso produto, rápido, prático e super bonito. A entrega foi super rápida e todos acham lindo e com razão. Podem comprar sem sombra de dúvidas, é um excelente notebook, estou imensamente satisfeita!
",positive
"Pessoal, este notebook traz o Mandriva, SO desatualizado e com várias falhas de drivers. Além do mais, uma semana depois deixou de ligar! Um mês à espera de noticias da assistência técnica.
",negative
"Eu estou super satisfeita com a performance do computador
",positive
"Chegou antes do prazo e estou muito satisfeito com o produto. Recomendo.
",positive
"Computador leve, fino e rápido. Seu tamanho é perfeito (não é grande nem pequeno), além de ser extremamente bonito! Estou amando!! Era exatamente como eu esperava.
",positive
"Escolhi esse notebook por 3 motivos principais:  1) A marca é conhecida pela durabilidade 2) 500 MB,1 T e i5 por esse valor = compensa muito 3) Muito leve e fino Por enquanto está me agradando bastante, vamos ver a longo prazo.
",positive
"Atendeu minhas expectativas, produto muito bom, sem problemas.
",positive
"Sempre considerei a Positivo como uma das melhores opções de compra. A entrega do produto ocorreu dentro do prazo previsto.
",positive
"Produto de qualidade  Padrao Dell de sempre   Ótimo
",positive
"Vi algumas avaliações sobre o produto reclamando de lentidão, de falta de gravador de dvd, etc. Para a finalidade que eu comprei o notebook, ele me satisfaz plenamente. Não vou usar jogos nele, nem vou usar programas de design pesados.   Para o que quero: navegar na internet, fazer compras, administrar minhas contas bancárias, ele é bem rápido e seguro. Gostei muito.
",positive
"O produto é ótimo, lindo, está atendendo bem minhas necessidades. Só achei um pouco lento pra um i5.
",positive
"Muito bonito, leve, rápido e com bateria muito boa. Tela grande e está atendendo minha necessidade de desempenho para programas de engenharia.
",positive
"Produto ótimo de fácil acesso , única reclamação é que vem com uns aplicativos de fabrica na qual não achei útil
",negative
"""NO MEU USO DIÁRIO é bastante econômico com relação a bateria, já consegui quase 5 horas. Teclado é excelente, a tela antirreflexo é ótima mas tive que me acostumar pq não tem """"aquele"""" brilho, entretanto, não troco mais pq na hora do clarão ela salva. <3 Não travou nada, nem jogo e nem programas pesados. Vou de celular Lenovo Motorola e agora Notebook também. Super indico! obs.: não vá atrás de quem diz que a bateria é ruim (isso serve pra qualquer notebook) pois depende muito de como o aparelho será usado, caso vc compre um aparelho e não lhe agrade, tem alguns dias pra trocar. obs.: minha compra foi feita no guichê da <empresa> no shopping, adorei a rapidez da entrega e a maneira como foi possível acompanhar o pedido no aplicativo.""
",positive
"Excelente notebook para as tarefas diárias. Rápido e prático. E ainda roda vários jogos modernos.
",positive
"é um bom produto, tem um bom preço e beneficio, boa aparência.
",positive
"O computador é bom, vem com Windows 10 instalado. Design fino, fácil de transportar. Teclado com teclas separadas, o que facilita a digitação. A bateria é embutida, não dá para tirar e trocar, quando for preciso.   Como pontos negativos, ele não vem com CD de recuperação e o seu manual é genérico, escrito uma só vez para servir para vários modelos diferentes. Eu mesmo estou tendo dificuldade até agora para descobrir como faço no padmouse para simular os botões direito e esquerdo de um mouse convencional.   Mas, pelo preço, pode comprar que vale a pena.
",positive
"a placa mãe deu defeito e nem a samsung nem a <empresa> arrumam. computador não tem nem um ano. como vendem algo sem peça pra repor?
",negative
"em um otimo notebook não é aquele notebook que tu olha e fala NOSSA QUE NOTEBOOK FODAAA MEU!!!! mas da pro gasto,se tu quiser pra jogar ou algo assim eu não recomendaria pois não vai rodar muita coisa,mas se cs go for o suficiente pode pegar que vai tranquilo haha.
",positive
"Só deveria ter entrada pra cartão de memória, no mais tudo como descrito no anúncio
",positive
"Gostei muito bacana msm,leve definido design perfeito
",positive
"O produto é excelente para quem quer praticidade e seus componentes otimos, o preço melhor ainda.
",positive
"Adorei. Ótimo desempenho  Leve Responde super rápido.
",positive
"Muito bom, apenas travou a primeira vez que liguei!
",positive
"NOTEBOOK MUITO LENTO, PIOR DO QUE UMA CARROÇA. HORRÍVEL. UMA PENA NÃO PODER DEVOLVER. PENSE NUM ARREPENDIMENTO... MUITO RUIM..... NÃO RECOMENDO NEM PRO INIMIGO.....
",negative
"Super recomendo pra uso básico notebook Tá ótimo o ruim é a bateria que dura pouquíssimo tempo e resto td de bom
",positive
"Gostei muito do notebook, estou com quase 1 mês de uso e só não gosto do windows 10, horrível esse sistema operacional. Sugiro que assim que comprarem o note desativem todos os recursos de atualizações automáticas para evitar dor de cabeça. E sim, o note faz um barulho vindo do HD, mas não me incomoda nem um pouco, sendo que uso o mesmo com fones de ouvido e nem acabo ouvindo. Fora isso é um note muito bom.
",negative
"Pelas especificações do produto achei que seria melhor porém é lento para fazer coisas básicas... será que posso me arrepender da compra ainda?
",negative
"comprei achando que seria muito bom, porém tive o desprazer de  ter um produto que não superou minhas expectativas, depois de uns 8 meses de uso apareceu umas machas no display e  desde quando comprei percebi uma lentidão fora do comum ao inicializar e em alguns momentos o mesmo trava e não funciona de forma adequada como deveria, por isso não estou falando que o produto em si é ruim, foi o meu que veio com algum problema de fábrica pois já utilizei outras versões e não tenho do que reclamar porem essa pra mim me decepcionou.
",negative
"ESTOU MUITO SATISFEITO COM ATENDIMENTO <empresa>!
",positive
"É um ótimo notebook, leve, rápido e o melhor ainda tem uma secretária virtual
",positive
"chegou no dia combinado,não tive nenhum problema com o aparelho adorei o produto e como eu queria,obrigado.  Vocês estão de parabéns em atendimento
",positive
"Amei o computador, cumpre com o proposto, chegou bem antes do prazo. A única coisa que pecou foi que no site não informava que ele não possuía saída VGA, ou seja, se você precisar conectar a um monitor que ainda não tenha entrada HDMI, terá que comprar um adaptador e/ou desistir.
",positive
"Produto recebido conforme descrição, tem excelente qualidade. Recomendo!
",positive
"Tudo certo. Chegou antes do prazo. Produto perfeito.
",positive
"Super satisfeita com o produto, muito bom o desempenho e a entrega da <empresa> foi super rápida!
",positive
"Produto excelente, perfeito para mim que o uso para estudar.
",positive
"Atende as expectativas.   Ótimo custo x benefício. Satisfeito até o momento.
",positive
"Mochila muito boa, espaçosa, coube sem problemas meus materiais de informática, ajudou bastante pra carregar o notebook, recomendo sem dúvida
",positive
"Excelente produto, indico com certeza! Entrega dentro do prazo! Parabéns!
",positive
"Produto excelente e entrega muito rápida! Produto cumpre o que promete.
",positive
"Gostei muito do produto, entrega rápida, bom atendimento.  Parabéns continuem assim!!!
",positive
"gostei muito vale apena comprar! Chegou muito antes do prazo
",positive
"Gostei muito desse notebook, comprei para poder estudar e para fazer isso está de bom tamanho!!!
",positive
"Procurava um notebook barato e eficaz para alguns trabalhos caseiros. Este aí foi bem recomendado pelo técnico meu amigo e não decepcionou. Dentro de seu hardware ele é até veloz. E vem cumprindo bem seu propósito. Bem configurado, razoavelmente leve, conexões que funcionam. Recomendo, sim!
",positive
"Excelente o produto.. sempre compro aqui pq são rápidas as entregas vcs são ótimos no atendimento.  Parabéns ótimo atendimento.
",positive
"Atende minhas necessitades, estou utilizando para trabalhos univeritários
",positive
"Amei amei amei, muito bonito, rápido e eficiente, recomendo com certeza foi uma boa escolha.
",positive
"Ótimo produto, valeu muito a pena o investimento !
",positive
"Ótima maquina para se trabalhar ou utilizar para fins académicos. Recomendo para quem comprar, apenas que desativem essas atualizações automáticas do windows 10 que encomodam muito. No youtube ensina como.
",positive
"Umá ótima máquina, ótimo custo x benefício. Uso para jogos e trabalho, excelente desempenho. Recomendo
",positive
"Produto chegou antes do prazo, ótimo notebook, atende as necessidades diárias. pena não vim com o pacote office.
",positive
"Recomendo, pena que o Office e o antivírus e teste gratuito 30 Dias...
",negative
"Rápido, leve e bonito. Atende as necessidades de um user intermediário.
",positive
"Gostei bastante do notebook, mas acredito que poderia mais rápido.
",negative
"o produto corresponde ao anúncio,é fácil de manusear, leve e moderno. O único problema é a transportadora,que não fornece dados reais no site...
",positive
"Ele é muito lento, estou bem insatisfeita. Deveria ter investido mais e comprado de 8 GB de ram
",negative
"Produto atendeu minhas expectativas, gostei do teclado numérico e de já vir com operacional Windows
",positive
"Para que eu pudesse avaliar como excelente, teria 6 de manter o gravador/leitor de CD/DVD, está muito cedo para remover tal função do equipamento.
",negative
"Produto muito bom, leve e tamanho ideal. Rápido e bonito.
",positive
"Muito bom, só não gostei porque véi com o Linux....
",negative
"Realmente o produto é de boa qualidade e chegou em uma semana. Recomendo!
",positive
"Atendeu minhas expectativas dentro do que me propus investir. Atende minhas necessidades. Entrega surpreendentemente rápida.
",positive
"Notebook com performance ótima para esta faixa de preço. O processador i5 da oitava geração junto com a Geforce 150MX realmente surpreendem. Se você está atrás de um note com velocidade e não se importa muito com Full HD, pode comprar sem medo. Não é à toa que o preço disparou e os estoques secaram em poucas semanas após o lançamento.
",positive
"Comprei já tem uns meses e estou amando.. não trava.. o que é maravilhoso kkkk.. audio com volume muito bom, resolução maravilhosa; a única coisa que tenho a reclamar é sobre conectar ao wifi.. demora um pouquinho, porque fica dizendo que está com sinal fraco, ou que a internet caiu, porém os outros aparelhos da casa estão conectados e funcionando perfeitamente; mas após algumas tentativas ele funciona perfeitamente.. Recomendo bastante, sem contar no prazo de entrega da amaricanas que está mais que de parabéns, meu produto não só chegoi no prazo, como dias antes do prazo. Parabéns!!
",positive
"Melhor note na categoria, comparado custo x benefício. Muito bonito o design. Contra o teclado americano, questão de acostumar.
",positive
"O produto é ótimo, atendeu muito as minhas expectativas está servindo demais para os trabalhos da Universidade!
",positive
"O notebook já chegou pra mim com defeito, não ligava.
",negative
"O pc parecia ser bom mas travou geral durante uso de programa de edição de vídeo. Tive que resetar a bateria. Tentei 4 vezes mas não deu certo. Tentei trocar mas a americas disse que não tinha o produto em estoque.
",negative
"ainda nao posso recomendar. o notebook nao reinicia ado clicar no reiniciar ele simplesmente desliga sozinho. na a tualizaçao demorou 24 horas e pede para reiniciar e nao reinicia.
",negative
"Cheguei neste modelo depois de um bom tempo de pesquisa e para mim é o melhor custo benefício para quem quer um note leve com boas especificações. Depois de pouco mais de um mês de uso, o desempenho dele está atendendo muito bem minhas expectativas. A única coisa que posso mencionar com ruim do que usei é o leitor de digital, dificilmente consigo abrir o pc com ele porque sempre dá que minha digital não foi reconhecida, mas isso, é um detalhe que não atrapalha minha boa avaliação do produto.
",positive
"Produto ótimo de boa qualidade e desempenho recomendo.
",positive
"Chegou rápido e o equipamento é muito bom pra quem não pretende carregá-lo pra cima e pra baixo.
",positive
"Excelente produto, marca e qualidade. No começo estava bastante lento por causa de inúmeros aplicativos ACER instalados, fiz a remoção de 90% desses aplicativos e o PC funcionou corretamente. Recomendo este produto.
",positive
"O produto já chegou apresentando um problema de desligamento. Mas as lojas <empresa> resolveram meu problema aceitando a devolução.
",negative
"Entrega dentro do prazo, recomendo ótimo produto. Não irão se arrepender
",positive
"Maravilhoso!!! Chegou antes da data estimada. Recomendo!
",positive
"Computador bem bonito, tela com ótima resolução, super adequado para funções básicas do cotidiano, atende super bem às minhas necessidades. Entrega foi mais rápida do que o prazo dado.
",positive
"Produto muito bom, porém o HD faz um barulho bem chato. Coloquei um ssd e ficou excelente!
",negative
"Muito lento, trava as vezes, não entrega o que promete nos anúncios.
",negative
"Maravilhoso, amei demais! Super recomendo. Gostei muito do produto!
",positive
"Não usei nem 5 vezes e o notebook não liga mais! Muito lento! Não recomendo!
",negative
"Produto atendeu minhas expectativas! A marca promete e cumpre!
",positive
"Ótimo notebook, tela muito boa. Atendeu minhas espectativas!
",positive
"Excelente equipamento. Me surpreendi porque não esperava que o equipamento fosse tão bom e tão fácil de me adaptar. O touchpad é excelente e já vem configurado para o Windows 10, os gestos são intuitivos e você vai aprendendo aos poucos a usar. Excelente produto Recomendo.
",positive
"O notebook é tão ruim que dá raiva acessar qualquer pagina de tão lento. Não gostei e não recomendo.
",negative
"Baixíssimo custo ao se comparar com o benefício, tem uma ótima qualidade gráfica para realização de tarefas simples, por exemplo assistir Netflix em Ultra HD, vídeos com qualidade igual ou superior a 1080p, jogos como League of Legends. Roda DAWs leves, como o Reaper, também faço edições simples no Adobe Premiere Pro CC, mas a partir daí e o processamento não aguenta e o funcionamento do Pc fica sofrível. Mas é um PC de menos de 2000$., portanto o benefício é ligeiramente maior que o custo.
",positive
"Equipamento bom, rápido e bem leve para transportar. Porém comprei o Office 365 que terei que obter outro daqui há um ano. A Samsung poderia buscar uma forma para que seus clientes obtenha atualização do office sem ter que pagar novamente.
",negative
"O computador é lento, já tive um I3 antes da LG, e gostei muito da versatilidade, bateria, e velocidade de processamento! O note da Samsung me.decdpcionou, é uma vida para abrir aplicativos e entrar na internet!
",negative
"Como você compra um produto e ele não liga? O pior é que disseram que não posso trocar por outra marca, tenho que aguardar o conserto dessa porcaria! Não comprem pq POSITIVO é só dor de cabeça!
",negative
"foi fácil de de comprar a entrega foi dentro do prazo e o produto é muito bom
",positive
"Excelente desempenho, designe irado e preço muito justo. Super recomendo!
",positive
"Bom, leve e pratico, para quem usa para tarefas diárias.
",positive
"""O produto em si é ótimo. Não escolhi essa marca atoa....pesquisei etc. Só que a tecla da letra """"R"""" veio COMPLETAMENTE SOLTA......Nem pude pensar em devolver, pois estudo on line usando usando o notebook e também para trabalhar. Tenho medo de colar e piorar o negócio. Sigo usando assim. Só me chateia que não pagamos barato, ou pode-se dizer que é o valor do mercado, em suma, não é brinde, não é cortesia, para vir com algo danificado.""
",negative
"Nos primeiros dias estava travando muito, mal dava para abrir as aba de internet, mas depois que atualizei o windows 10 só falta levantar voo ficou tudo rápido sem nenhuma travada, testei far cry 5 e rodou sem problema algum, excelente produto.
",positive
"Produto muito bom, compatível com o que procurava.
",positive
"Produto chegou em perfeito estado.Recomendo,pois é do jeito q eu imaginava.Totalmente satisfeita!
",positive
"Comprei um mês passado e com 11 dias deu problema, foi para a garantia e trocaram a placa mãe, voltou e semana passada deu problema de fabricação na tela, falaram que o problema não está coberto pela garantia e pediram para ligar para fazer um orçamento, vou ter que pagar para consertar um problema de fabricação deles, é muito descaso com o cliente, existem marcas que estão melhores que eles, inclusive no pós venda. Paguei caro para ter um computador bom e que não daria dor de cabeça mas fui enganado por esta falsa impressão, o caro saiu caro.
",negative
"Notebook bom para usar em casa, ver filmes e acessar a internet, além de ser super leve.
",positive
"Está funcionando perfeitamente, chegou na data prevista, um ótimo produto.
",positive
"O computador está travando as teclas e escurecendo a tela, não tem nada nele e já está com a memória cheia! Eu quero fazer a troca!
",negative
"Só o Windows e suas atualizações já ocupam todo o espaço da memória
",negative
"Corresponde todas as características e espectativas. Muito bom!
",positive
"Não é o que desejei, por isso optei pela devolução, obg.
",negative
"Já fiz uma avaliação e foi apagada, mais vou insistir em outos meios.         Notebook travou com dois diad de uso- muito ruim    Deposito da <empresa> em Seropédica e criente morador de Nova Iguaçú e eles só entregam com o prazo combinafo de quinze dias uteis e não adianta reclamar. Demoram muito pra entregar o produto - sem mais.
",negative
"Não deveriam anunciar como notebook, produto muito ruim
",negative
"Produto lindo, leve e funcional. Entrega super rápida. Recomendo!
",positive
"Bom notebook para estudos e pesquisas na internet. Tem um bom processador que consegue suportar uma boa quantidade de jogos.
",positive
"""As imagens das especificações técnicas do produtos são completamente incoerentes ao produto entregue.  Isso é questão de falta de ética da empresa e de incapacidade de garantir o produto final conforme a foto, ou seja, apenas uma forma de """"Phishing"""" sobre os panos, aonde eles culpam os fornecedores pelas imagens divulgadas EM SUA PÁGINA.  A Tela não é Full HD como diz a imagem principal do item E as configurações da imagem ? Esquece, não existem e não são aquelas.  Uma pena, a credibilidade de vocês morreu pra mim e para todos que conheço e que viram a historia de perto.  Espero que esse comentário a respeito do produto ajude a pessoas não terem o mesmo problema que o meu.  Obrigado a todos, e <empresa> seu serviço foi bem péssimo nessa situação.""
",negative
"ótimo para desenvolvimento, leve e portátil, e bonito.
",positive
"Até o momento já passou 1 mês está tudo bem, principalmente depois que passei para o outro Linux chamado Fedora !
",positive
"Produto da linha samsung de excelente qualidade. Entrega foi muito rápida e atendeu as minhas expectativas. Compro outo e recomendo. Sempre compro com as <empresa>.
",positive
"O bom produto para usar no dia a dia, é rápido para executar trabalhos básicos, assistir vídeos, etc.
",positive
"Por hora tenho utilizado apenas para fazer curso online e navegar na internet. Para este propósito ele está aprovadissimo.  Mas comprei para editar vídeos. Mais ainda não utilizei para o mesmo, portanto não tenho como avaliar.
",positive
"Chegou na data correta. produto excelente. Recomendo. Era o que eu esperava.
",positive
"Nao comprem. Porque dao o prazo de entrega  e nao cumprem . Entregam quando querem deceoxao total
",negative
"Sem reclamações! Um dos melhores do mescado. Sem duvida um excelente compra pra quem quer um notebook completo.
",positive
"Notebook Perfeito, ele vem com linux, mas ai é só colocar o windows 10(ou o sistema operacional de sua preferencia), ele é super rápido, se for para usar para atividades normais como Youtube, Google, Facebook) funciona muito bem e se for para jogar, roda liso o Euro Truck Simulator 2 versão 1.1.1 no gráfico alto, e a entrega foi antes do prazo previsto.
",positive
"Esse laptop atende minhas necessidades presentes e futuras
",positive
"Gostei muito, vai ajudar bastante no meus trabalhos.
",positive
"Comprei focando em edição de vídeo e fiz a escolha certa!
",positive
"Ótimo custo beneficio. Na cor branca é lindo. Chegou bem rápido
",positive
"""Aí você pede a entrega rápida, porque está com mais """"urgência"""" e o prazo está de 6 a 8 dias úteis, hoje tem 10 dias úteis contando um dia após a confirmação da compra e ainda não chegou, sem contar que a previsão no site era 03/05 e não chegou nada em casa, péssimo atendimento!""
",negative
"Gostei. Ótimo notebook, atende todos os meus requisitos. Ótimo desempenho. Consigo jogar meus jogos tranquilamente.
",positive
"Ótimo e bonito. Bem grande porem faz bastante barulho
",positive
"Notebook com ótimo preço, boa configuração. A bateria poderia durar mais tempo e o fio do carregador deveria ser maior.
",negative
"gente sempre compra nas lojas <empresa> se recomendo que vc comprei
",negative
"Produto conforme o anúncio, chegou antes do prazo e atende as expectativas.
",positive
"Gostei muito do notebook, não concordo com o Windows 10 ser tão lento para tudo. Fora isso está certo.
",negative
"Existem 3 entradas USB (Uma delas é USB 3.0, Existe 1 entrada de internet LAN, Entrada para fones de ouvido (entrada para  fones de celulares), Entrada para CD/DVD e mais
",positive
"Atendeu as minhas expectativas. Um ótimo notebook para quem quer usar para trabalho ou lazer.
",positive
"Atende as expectativas e a entrega antes do prazo!!! Produto leve, qualidade de som e resolução
",positive
